70,Unknown,retired
45,Male,nurse
60,Female,salesman
43,Male,politician
28,Other,programmer
5,Male,none
19,Male,student
9,Female,none
54,Other,nurse
69,Female,retired
37,Unknown,doctor
31,Male,politician
36,Female,engineer
75,Other,retired
13,Male,student
18,Male,student
73,Unknown,retired
37,Male,nurse
17,Female,student
44,Unknown,secretary
70,Male,retired
33,Male,secretary
26,Male,politician
27,Female,none
75,Other,retired
72,Female,retired
17,Other,student
37,Female,model
49,Female,student
74,Male,retired
44,Female,salesman
34,Unknown,salesman
12,Female,student
33,Male,salesman
27,Female,student
68,Unknown,retired
20,Other,lawyer
56,Other,engineer
22,Male,secretary
27,Male,programmer
18,Unknown,student
29,Unknown,scientist
53,Male,secretary
61,Male,secretary
75,Female,retired
37,Other,librarian
69,Other,retired
49,Male,model
12,Female,student
67,Other,retired
59,Female,engineer
68,Unknown,retired
23,Unknown,none
13,Female,student
75,Other,retired
50,Male,retired
48,Other,executive
46,Other,student
41,Female,none
51,Unknown,retired
13,Other,student
46,Unknown,salesman
32,Female,model
16,Unknown,student
55,Female,lawyer
44,Male,model
30,Other,none
62,Male,model
47,Unknown,student
38,Male,nurse
34,Unknown,none
18,Male,student
19,Male,student
38,Other,artist
72,Unknown,retired
35,Male,secretary
7,Male,none
20,Male,model
8,Male,none
23,Other,lawyer
15,Female,student
18,Male,student
29,Female,programmer
48,Female,programmer
7,Male,none
27,Female,engineer
39,Other,student
24,Female,artist
63,Unknown,secretary
72,Other,retired
18,Unknown,student
41,Female,politician
60,Other,artist
64,Unknown,retired
16,Male,student
65,Female,student
57,Female,programmer
75,Male,retired
46,Male,secretary
49,Female,student
8,Female,none
55,Unknown,model
20,Unknown,secretary
49,Unknown,teacher
11,Female,student
44,Unknown,none
11,Unknown,student
40,Male,nurse
75,Male,retired
32,Male,model
49,Female,student
43,Unknown,secretary
73,Other,retired
75,Female,retired
29,Male,model
25,Male,model
65,Female,programmer
70,Male,retired
75,Male,retired
43,Unknown,salesman
24,Female,engineer
16,Unknown,student
74,Male,retired
39,Other,artist
31,Unknown,lawyer
17,Female,student
33,Female,model
73,Male,retired
39,Male,model
40,Female,politician
20,Unknown,artist
50,Female,lawyer
60,Other,model
64,Other,student
42,Unknown,politician
59,Male,nurse
54,Male,model
52,Unknown,executive
71,Male,retired
44,Unknown,nurse
41,Unknown,scientist
38,Other,secretary
50,Other,none
